No,Constituency,Representative,Questions,Group (manual)
1,POKOK SENA,DATO' AHMAD BIN SAAD @ YAHAYA,1,DATO' HAJI AHMAD BIN SAAD @ YAHAYA
2,KUALA LANGAT,DATO' DR. AHMAD YUNUS BIN HAIRI,1,DATO' DR. AHMAD YUNUS BIN HAIRI
3,TUMPAT,DATO' HAJAH MUMTAZ BINTI MD NAWI,1,DATO' HAJAH MUMTAZ BINTI MD NAWI
4,PORT DICKSON,DATO' SERI HAJI AMINUDDIN BIN HARUN,1,DATO' SERI HAJI AMINUDDIN BIN HARUN
5,TANJUNG PIAI,DATO' SRI DR. WEE JECK SENG,1,DATO' SRI DR. WEE JECK SENG
6,BELURAN,DATUK SERI DR. RONALD KIANDEE,1,DATUK SERI DR. RONALD KIANDEE
7,TANJONG KARANG,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI,1,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI (BERSARA)
8,TANJONG KARANG,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI (TANJONG KARANG),3,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI (BERSARA)
9,KOTA BELUD,PUAN ISNARAISSAH MUNIRAH MAJILIS,1,PUAN ISNARAISSAH MUNIRAH MAJILIS
10,BUKIT BENDERA,PUAN SYERLEENA BINTI ABDUL RASHID,1,PUAN SYERLEENA BINTI ABDUL RASHID
11,SIK,TUAN AHMAD TARMIZI BIN SULAIMAN,1,TUAN AHMAD TARMIZI BIN SULAIMAN
12,RASAH,TUAN CHA KEE CHIN,1,TUAN CHA KEE CHIN
13,KEMAMAN,TUAN CHE ALIAS BIN HAMID,1,TUAN CHE ALIAS BIN HAMID
14,BALING,TUAN HASSAN BIN SAAD,1,TUAN HASSAN BIN SAAD
15,,TUAN IR. MD. NASIR BIN HASHIM,1,TUAN IR. MD. NASIR BIN HASHIM
16,SUNGAI SIPUT,TUAN KESAVAN A/L SUBRAMANIAM,1,TUAN KESAVAN A/L SUBRAMANIAM
17,HULU LANGAT,TUAN MOHD SANY BIN HAMZAN,1,TUAN MOHD SANY BIN HAMZAN
