No,Ministry,Questions,Group (manual)
1,MENTERI BELIA DAN SUKAN,186,MENTERI BELIA DAN SUKAN
2,MENTERI DALAM NEGERI,787,MENTERI DALAM NEGERI
3,MENTERI DIGITAL,66,MENTERI DIGITAL
4,MENTERI EKONOMI,444,MENTERI EKONOMI
5,MENTERI KEMAJUAN DESA DAN WILAYAH,259,MENTERI KEMAJUAN DESA DAN WILAYAH
6,MENTERI KERJA RAYA,387,MENTERI KERJA RAYA
7,MENTERI KESIHATAN,747,MENTERI KESIHATAN
8,MENTERI KEWANGAN,827,MENTERI KEWANGAN
9,MENTERI KOMUNIKASI,214,MENTERI KOMUNIKASI
10,MENTERI KOMUNIKASI DAN DIGITAL,123,MENTERI KOMUNIKASI DAN DIGITAL
11,MENTERI LUAR NEGERI,185,MENTERI LUAR NEGERI
12,"MENTERI PELABURAN, PERDAGANGAN DAN INDUSTRI",277,"MENTERI PELABURAN, PERDAGANGAN DAN INDUSTRI"
13,"MENTERI PELANCONGAN, SENI DAN BUDAYA",244,"MENTERI PELANCONGAN, SENI DAN BUDAYA"
14,MENTERI PEMBANGUNAN DAN KERAJAAN TEMPATAN,9,MENTERI PERUMAHAN DAN KERAJAAN TEMPATAN
15,MENTERI PEMBANGUNAN KERAJAAN TEMPATAN,142,MENTERI PERUMAHAN DAN KERAJAAN TEMPATAN
16,MENTERI PEMBANGUNAN USAHAWAN DAN KOPERASI,103,MENTERI PEMBANGUNAN USAHAWAN DAN KOPERASI
17,"MENTERI PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT",177,"MENTERI PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT"
18,MENTERI PENDIDIKAN,819,MENTERI PENDIDIKAN
19,MENTERI PENDIDIKAN TINGGI,329,MENTERI PENDIDIKAN TINGGI
20,MENTERI PENGANGKUTAN,499,MENTERI PENGANGKUTAN
21,MENTERI PERALIHAN TENAGA DAN TRANSFORMASI AIR,297,MENTERI PERALIHAN TENAGA DAN TRANSFORMASI AIR
22,MENTERI PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP,238,MENTERI PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP
23,MENTERI PERLADANGAN DAN KOMODITI,142,MENTERI PERLADANGAN DAN KOMODITI
24,MENTERI PERPADUAN NEGARA,47,MENTERI PERPADUAN NEGARA
25,MENTERI PERTAHANAN,165,MENTERI PERTAHANAN
26,MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN,707,MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN
27,MENTERI PERUMAHAN DAN KERAJAAN TEMPATAN,290,MENTERI PERUMAHAN DAN KERAJAAN TEMPATAN
28,"MENTERI SAINS, TEKNOLOGI DAN INOVASI",70,"MENTERI SAINS, TEKNOLOGI DAN INOVASI"
29,MENTERI SUMBER ASLI DAN KELESTARIAN ALAM,226,MENTERI SUMBER ASLI DAN KELESTARIAN ALAM
30,"MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM",247,MENTERI SUMBER ASLI DAN KELESTARIAN ALAM
31,MENTERI SUMBER MANUSIA,306,MENTERI SUMBER MANUSIA
32,PERDANA MENTERI,1319,PERDANA MENTERI
